Case,Year,Cause of Tsunami,Focal Depth (kilometers),Magnitude,Country,Locationname,Latitude,Longitude,Height,Intensity,Deaths,Missing,Injuries,Damage (Million USD),Houses Destroyed,Houses Damaged
132,1978,Earthquake,33,7.5,RUSSIA,S. KURIL ISLANDS,44.932,148.439,0.3,0,,,,,,
133,1978,Earthquake,33,7.6,RUSSIA,S. KURIL ISLANDS,44.244,148.862,0.65,0,,,,,,
134,1978,Earthquake,44,7.7,JAPAN,SANRIKU,38.19,142.03,0.6,0.5,28,,1000,865,,
135,1978,Earthquake,30,4.4,SPAIN,CADIZ,36.63,-6.871,0.12,1,,,,,,
136,1979,Earthquake,10,6.4,JAPAN,"IWATE, JAPAN",40.232,143.703,0.12,,,,,,,
137,1979,Earthquake,49,7.6,MEXICO,S. MEXICO,17.813,-101.276,1.3,,5,,35,30,200,
138,1979,Earthquake,10,6.9,SERBIA AND MONTENEGRO,MONTENEGRO,42.096,19.209,0.6,1,131,,1001,2700,,
139,1979,Earthquake,5,7.9,INDONESIA,IRIAN JAYA,-1.679,136.04,2,,115,,,,1000,
140,1979,Earthquake,24,7.7,COLOMBIA,"COLOMBIA: OFF SHORE, PACIFIC OCEAN",1.598,-79.358,6,2.5,600,,20000,8,10000,
141,1980,Earthquake,10,7.2,PORTUGAL,AZORES,38.815,-27.78,,1,69,,600,5,,
142,1980,Earthquake,44,7,RUSSIA,S. KURIL ISLANDS,43.53,146.753,0.6,-2,,,,,,
143,1980,Earthquake,15,6.2,JAPAN,HONSHU ISLAND,34.808,139.181,0.56,,,,7,,,
144,1980,Earthquake,33,7.9,SOLOMON ISLANDS,SOLOMON ISLANDS,-12.525,165.916,0.14,,,,,,,
145,1981,Earthquake,,6.9,JAPAN,E. HONSHU ISLAND,38.64,142.75,0.37,,,,,,,
146,1981,Earthquake,33,6.7,GREECE,ATHENS-EASTERN GULF OF CORINTH,38.222,22.934,0.3,3,22,,400,812,8000,
147,1981,Earthquake,33,7.6,NEW ZEALAND,NEW ZEALAND,-48.786,164.357,0.3,,,,,,,
148,1981,Earthquake,25,7.7,SAMOA,SAMOA ISLANDS,-14.96,-173.085,1,-2,,,,,,
149,1981,Earthquake,28,7.3,MEXICO,MEXICO,18.084,-102.084,0.09,,9,,,,,
150,1982,Earthquake,44,6.9,JAPAN,HOKKAIDO ISLAND,42.158,142.361,1.3,,,,,,,
151,1982,Earthquake,37,7.2,JAPAN,"IBARAKI, JAPAN",36.194,141.702,0.4,-1,,,,,,
152,1982,Earthquake,33,7.5,NEW ZEALAND,KERMADEC ISLANDS,-24.133,-175.864,0.2,,,,,,,
153,1982,Earthquake,22,6.4,JAPAN,S. OF HONSHU ISLAND,33.826,139.434,0.19,-1,,,,,,
154,1983,Earthquake,17,6.9,INDONESIA,BANDA SEA,-4.056,127.924,3,1.5,,,,,,
155,1983,Earthquake,89,7.9,PAPUA NEW GUINEA,NEW BRITAIN,-4.883,153.581,0.3,,,,,,,
156,1983,Earthquake,24,7.8,JAPAN,"NOSHIRO, JAPAN",40.462,139.102,14.93,2,104,,324,800,3513,
157,1983,Earthquake,31,5.6,JAPAN,"NOSHIRO, JAPAN",40.237,139.023,0.6,,,,,,,
158,1983,Earthquake,10,6.9,JAPAN,N. HONSHU ISLAND,41.346,139.099,1,,,,,,,
159,1983,Earthquake,63,7.1,RUSSIA,"KAMCHATKA BAY, RUSSIA",55.867,161.287,0.1,,,,,,,
160,1983,Earthquake,29,6.6,PHILIPPINES,LUZON ISLAND,18.231,120.86,0.1,,16,,47,,,
161,1983,Earthquake,15,7.7,CHILE,NORTHERN CHILE,-26.535,-70.563,0.2,0.2,5,,12,1,40,
162,1983,Earthquake,10,7.7,UK TERRITORY,CHAGOS ARCHIPELAGO REGION,-6.852,72.11,1.5,,,,,,,
163,1984,Earthquake,29,5.4,GREECE,"CORINTHOS GULF, GREECE",38.396,22.094,,3,,,,,,
164,1984,Earthquake,44,7.2,RUSSIA,S. KURIL ISLANDS,44.117,148.192,0.2,-2,,,,,,
165,1984,Earthquake,41,5.5,JAPAN,"TORI SHIMA, OKINAWA",31.448,140.036,0.5,,,,,,,
166,1984,Earthquake,46,7,JAPAN,"KYUSHU, JAPAN",32.386,131.945,0.2,,,,9,,,
